# index, meta, _pos
375,java.awt.dnd.DragGestureListener,"array([ 7.7864203, -3.183739 ])"
376,java.awt.datatransfer.Clipboard,"array([ 6.67823053, -3.08681273])"
377,java.util.Properties,"array([ 5.08237749, -3.11660465])"
378,java.awt.im.InputMethodHighlight,"array([ 5.04195924, -3.85910269])"
379,java.awt.Toolkit$1,"array([ 4.20452076, -1.48055125])"
380,java.awt.Toolkit$2,"array([ 4.22792028, -1.54285468])"
381,java.awt.Toolkit$3,"array([ 5.14135736, -1.02861289])"
382,java.awt.Toolkit$SelectiveAWTEventListener,"array([ 7.05602958, -1.52080425])"
383,java.awt.Toolkit$ToolkitEventMulticaster,"array([ 6.52449347, -2.5726914 ])"
384,java.awt.TrayIcon$MessageType,"array([ 4.62813367, -2.53000084])"
385,java.awt.VKCollection,"array([ 4.88336844, -2.37241038])"
386,java.lang.Integer,"array([ 4.97672423, -2.61057951])"
387,java.awt.Window$1DisposeAction,"array([ 3.34901974, -2.05800115])"
388,java.awt.Window$WindowDisposerRecord,"array([ 3.05828844, -2.78907438])"
389,java.awt.color.CMMException,"array([ 6.27932536, -3.67953565])"
390,java.lang.RuntimeException,"array([ 5.87495723, -3.76082895])"
391,java.awt.color.ICC_ColorSpace,"array([ 5.00971553, -1.50413001])"
392,java.awt.color.ICC_Profile,"array([ 4.35866479, -2.84242612])"
393,java.io.OutputStream,"array([ 4.76272639, -3.55008856])"
394,java.awt.color.ICC_Profile$1,"array([ 3.78078343, -0.9054312 ])"
395,java.awt.color.ICC_Profile$2,"array([ 4.23959098, -1.2482608 ])"
396,java.awt.color.ICC_Profile$3,"array([ 3.71519055, -2.51955707])"
397,java.io.FileInputStream,"array([ 3.85574265, -3.63952539])"
398,java.awt.color.ICC_ProfileGray,"array([ 4.07280777, -3.19417216])"
399,java.awt.color.ICC_ProfileRGB,"array([ 4.27870264, -3.57042614])"
400,java.awt.color.ProfileDataException,"array([ 5.42287616, -4.14597507])"
401,java.awt.datatransfer.DataFlavor,"array([ 5.72658572, -3.30927243])"
402,java.awt.datatransfer.Transferable,"array([ 6.89874658, -3.20039026])"
403,java.awt.datatransfer.ClipboardOwner,"array([ 7.99756037, -3.50581485])"
404,java.awt.datatransfer.FlavorListener,"array([ 8.06023207, -3.78333288])"
405,java.awt.datatransfer.Clipboard$1,"array([ 4.33650632, -0.67549461])"
406,java.awt.datatransfer.Clipboard$2,"array([ 3.91475223, -1.15095135])"
407,java.io.Externalizable,"array([ 4.92502395, -4.76896384])"
408,java.io.ObjectInput,"array([ 4.75681671, -4.20977505])"
409,java.io.Reader,"array([ 4.88813802, -3.04752468])"
410,java.io.ObjectOutput,"array([ 4.73115029, -4.11589391])"
411,java.awt.datatransfer.DataFlavor$1,"array([ 3.79525552, -2.90511399])"
412,java.awt.datatransfer.DataFlavor$TextFlavorComparator,"array([ 4.02527364, -1.11030147])"
413,java.awt.datatransfer.FlavorEvent,"array([ 6.98035602, -3.50535229])"
414,java.awt.datatransfer.FlavorMap,"array([ 6.59771569, -3.83000216])"
415,java.awt.datatransfer.FlavorTable,"array([ 5.41889514, -4.48264659])"
416,java.awt.datatransfer.MimeType,"array([ 5.05075643, -3.16451145])"
417,java.awt.datatransfer.MimeTypeParameterList,"array([ 5.09088145, -2.14478252])"
418,java.awt.datatransfer.MimeTypeParseException,"array([ 6.31714221, -3.75959291])"
419,java.awt.datatransfer.StringSelection,"array([ 6.5674528 , -3.30569098])"
420,java.awt.datatransfer.SystemFlavorMap,"array([ 5.37506148, -3.46619229])"
421,java.awt.datatransfer.SystemFlavorMap$1,"array([ 3.89133658, -3.06130692])"
422,java.io.BufferedReader,"array([ 3.90459154, -3.35636476])"
423,java.awt.datatransfer.SystemFlavorMap$2,"array([ 3.51003894, -2.33864787])"
424,java.awt.datatransfer.UnsupportedFlavorException,"array([ 6.36444684, -3.72997281])"
425,java.awt.dnd.Autoscroll,"array([ 8.10914379, -1.91170625])"
426,java.awt.dnd.DnDConstants,"array([ 3.09044714, -3.13882166])"
427,java.awt.dnd.DnDEventMulticaster,"array([ 6.63668309, -2.67111046])"
428,java.awt.dnd.DragSourceListener,"array([ 7.50059152, -3.1860917 ])"
429,java.awt.dnd.DragSourceMotionListener,"array([ 7.70888427, -3.07469198])"
430,java.awt.dnd.DragSourceDragEvent,"array([ 7.03547575, -3.08467736])"
431,java.awt.dnd.DragSourceEvent,"array([ 6.94798387, -3.16955835])"
432,java.awt.dnd.DragSourceDropEvent,"array([ 7.10968151, -3.07293237])"
433,java.awt.event.InputEvent,"array([ 6.56592842, -2.93348176])"
434,java.awt.dnd.DragSourceAdapter,"array([ 7.12255339, -3.36406302])"
435,java.awt.dnd.DragSourceContext,"array([ 6.81733076, -2.9417504 ])"
436,java.awt.dnd.DragSourceContext$1,"array([ 6.48537427, -3.45790904])"
437,java.awt.dnd.DropTargetListener,"array([ 7.41038434, -3.25848246])"
438,java.awt.dnd.DropTargetDragEvent,"array([ 6.58570223, -3.15687446])"
439,java.awt.dnd.DropTargetEvent,"array([ 6.84738099, -3.2037562 ])"
440,java.awt.dnd.DropTargetDropEvent,"array([ 6.46094253, -3.24139845])"
441,java.awt.dnd.DropTargetContext,"array([ 6.74003333, -3.07228415])"
442,java.awt.dnd.DropTarget$DropTargetAutoScroller,"array([ 6.82078321, -3.30570249])"
443,java.awt.dnd.DropTargetAdapter,"array([ 6.86211322, -3.57702283])"
444,java.awt.dnd.peer.DropTargetContextPeer,"array([ 8.18463042, -3.38289488])"
445,java.awt.dnd.DropTargetContext$TransferableProxy,"array([ 5.9066287 , -1.96926939])"
446,java.awt.dnd.InvalidDnDOperationException,"array([ 5.86704038, -3.96236019])"
447,java.awt.dnd.MouseDragGestureRecognizer,"array([ 7.17256678, -2.61293833])"
448,java.awt.dnd.SerializationTester,"array([ 2.98236026, -2.26347792])"
449,java.awt.dnd.SerializationTester$1,"array([ 3.90493555, -4.35033071])"
450,java.awt.dnd.peer.DropTargetPeer,"array([ 8.2664879, -2.7677138])"
451,java.awt.event.AWTEventListenerProxy,"array([ 7.47895487, -2.71630278])"
452,java.util.EventListenerProxy,"array([ 7.0162513 , -3.44154409])"
453,java.awt.event.ComponentAdapter,"array([ 7.31839344, -2.37031342])"
454,java.awt.event.ContainerAdapter,"array([ 6.81353089, -3.39603873])"
455,java.awt.event.FocusAdapter,"array([ 7.20725119, -1.99981502])"
456,java.awt.event.HierarchyBoundsAdapter,"array([ 6.6841197 , -3.49519587])"
457,java.awt.font.TextHitInfo,"array([ 6.03068459, -1.4146359 ])"
458,java.awt.event.InvocationEvent,"array([ 5.44221968, -1.89305597])"
459,java.awt.event.KeyAdapter,"array([ 7.22678249, -2.90571241])"
460,java.awt.event.MouseAdapter,"array([ 6.86216495, -1.8736598 ])"
461,java.awt.event.MouseMotionAdapter,"array([ 7.10277615, -1.80839821])"
462,java.awt.event.NativeLibLoader,"array([ 3.86547008, -1.11174828])"
463,java.awt.event.PaintEvent,"array([ 6.43352694, -2.02075479])"
464,java.awt.event.WindowAdapter,"array([ 7.12407018, -3.16129446])"
465,java.awt.font.CharArrayIterator,"array([ 5.7245936 , -0.92159321])"
466,java.awt.font.GlyphJustificationInfo,"array([ 6.01849151, -0.6845664 ])"
467,java.awt.font.GlyphMetrics,"array([ 6.03269089, -0.87631325])"
468,java.awt.font.GraphicAttribute,"array([ 6.30736669, -0.889721  ])"
469,java.awt.font.ImageGraphicAttribute,"array([ 6.60706299, -1.08734923])"
470,java.awt.font.LayoutPath,"array([ 5.80770595, -0.82852385])"
471,java.awt.font.LineBreakMeasurer,"array([ 5.65411305, -1.19835699])"
472,java.text.BreakIterator,"array([ 5.48200423, -1.71704684])"
473,java.awt.font.TextLayout,"array([ 5.83635367, -1.52747832])"
474,java.awt.font.MultipleMaster,"array([ 8.09603913, -2.16369768])"
475,java.awt.font.NumericShaper,"array([ 6.63744757, -3.2229642 ])"
476,java.awt.font.OpenType,"array([ 6.5076174 , -4.65720112])"
477,java.awt.font.ShapeGraphicAttribute,"array([ 6.42567824, -0.67359188])"
478,java.awt.font.StyledParagraph,"array([ 5.49410656, -1.15888908])"
479,java.awt.font.TextAttribute,"array([ 4.44426452, -2.31709455])"
480,java.text.AttributedCharacterIterator$Attribute,"array([ 4.01969902, -1.83189711])"
481,java.lang.Float,"array([ 4.66119018, -2.23035131])"
482,java.awt.font.TextJustifier,"array([ 7.08311504, -3.5622441 ])"
483,java.awt.font.TextLayout$CaretPolicy,"array([ 5.99177268, -0.93353887])"
484,java.awt.font.TextLine,"array([ 5.74484456, -1.5816261 ])"
485,java.awt.font.TextLine$TextLineMetrics,"array([ 6.28369687, -0.82727468])"
486,java.awt.font.TextLine$1,"array([ 3.93417239, -0.43642751])"
487,java.awt.font.TextLine$Function,"array([ 3.92907305, -0.6460596 ])"
488,java.awt.font.TextLine$2,"array([ 3.83080987, -0.48792791])"
489,java.awt.font.TextLine$3,"array([ 3.51614357, -0.75387687])"
490,java.awt.font.TextLine$4,"array([ 3.72543168, -0.5714764 ])"
491,java.awt.font.TextMeasurer,"array([ 5.5100517, -0.9614309])"
492,java.awt.font.TransformAttribute,"array([ 5.55995863, -0.95548666])"
493,java.awt.geom.Arc2D,"array([ 6.02748373, -1.05022649])"
494,java.awt.geom.RectangularShape,"array([ 5.85462406, -1.27892984])"
495,java.awt.geom.Arc2D$Double,"array([ 5.80822639, -1.2860958 ])"
496,java.awt.geom.Arc2D$Float,"array([ 6.06495686, -1.28836559])"
497,java.awt.geom.ArcIterator,"array([ 6.28584419, -0.75853535])"
498,java.awt.geom.Area,"array([ 5.70131717, -1.24026491])"
499,java.awt.geom.AreaIterator,"array([ 5.6152927 , -0.80886239])"
500,java.util.Vector,"array([ 5.18455025, -2.05722739])"
501,java.awt.geom.CubicCurve2D,"array([ 5.79240161, -1.2321669 ])"
502,java.awt.geom.CubicCurve2D$Double,"array([ 5.95319377, -1.15042902])"
503,java.awt.geom.CubicCurve2D$Float,"array([ 5.94559968, -1.10264671])"
504,java.awt.geom.CubicIterator,"array([ 5.53198993, -0.71176205])"
505,java.awt.geom.Ellipse2D,"array([ 6.1699662 , -1.11121999])"
506,java.awt.geom.Ellipse2D$Double,"array([ 6.04152239, -1.19806311])"
507,java.awt.geom.Ellipse2D$Float,"array([ 6.0667826 , -1.15793957])"
508,java.awt.geom.EllipseIterator,"array([ 6.20044281, -0.71463528])"
509,java.awt.geom.FlatteningPathIterator,"array([ 6.1323705 , -0.65855202])"
510,java.awt.geom.GeneralPath,"array([ 6.14055753, -1.06250829])"
511,java.awt.geom.Path2D$Float,"array([ 6.10888287, -1.19276461])"
512,java.awt.geom.IllegalPathStateException,"array([ 5.91815729, -3.79019397])"
513,java.awt.geom.Line2D$Double,"array([ 6.00498935, -1.14746485])"
514,java.awt.geom.Line2D$Float,"array([ 5.98971498, -1.20584137])"
515,java.awt.geom.LineIterator,"array([ 6.069529 , -0.7507984])"
516,java.awt.geom.NoninvertibleTransformException,"array([ 5.4381118 , -3.95910121])"
517,java.awt.geom.Path2D,"array([ 5.91558051, -1.29352678])"
518,java.awt.geom.Path2D$Double,"array([ 6.20536147, -1.21405427])"
519,java.awt.geom.Path2D$Double$CopyIterator,"array([ 6.74883173, -0.75762188])"
520,java.awt.geom.Path2D$Iterator,"array([ 6.33473471, -0.78913306])"
521,java.awt.geom.Path2D$Double$TxIterator,"array([ 6.24835635, -0.37532148])"
522,java.awt.geom.Path2D$Float$CopyIterator,"array([ 6.41385747, -0.45663152])"
523,java.awt.geom.Path2D$Float$TxIterator,"array([ 6.43509938, -0.3839819 ])"
524,java.awt.geom.Point2D$Double,"array([ 5.63540161, -0.93037096])"
525,java.awt.geom.Point2D$Float,"array([ 6.10602092, -1.0023426 ])"
526,java.awt.geom.QuadCurve2D,"array([ 5.74499048, -1.20776201])"
527,java.awt.geom.QuadCurve2D$Double,"array([ 5.79967873, -1.04330062])"
528,java.awt.geom.QuadCurve2D$Float,"array([ 5.83727842, -1.16729035])"
529,java.awt.geom.QuadIterator,"array([ 5.86047904, -0.5279516 ])"
530,java.awt.geom.RectIterator,"array([ 6.61101041, -0.93812626])"
531,java.awt.geom.Rectangle2D$Double,"array([ 5.88275229, -1.19880702])"
532,java.awt.geom.Rectangle2D$Float,"array([ 5.95562719, -1.24669217])"
533,java.awt.geom.RoundRectIterator,"array([ 6.69886689, -1.0223314 ])"
534,java.awt.geom.RoundRectangle2D,"array([ 6.0447968 , -0.99636365])"
535,java.awt.geom.RoundRectangle2D$Double,"array([ 5.8447574 , -1.06480549])"
536,java.awt.geom.RoundRectangle2D$Float,"array([ 5.79520771, -1.17478985])"
537,java.awt.im.InputSubset,"array([ 2.76684707, -2.4058848 ])"
538,java.lang.Character$Subset,"array([ 3.08503142, -2.50209984])"
539,java.awt.im.spi.InputMethod,"array([ 7.37350704, -1.66305577])"
540,java.awt.im.spi.InputMethodContext,"array([ 6.64842611, -1.51059049])"
541,javax.swing.JFrame,"array([ 6.10442516, -2.62264386])"
542,java.awt.im.spi.InputMethodDescriptor,"array([ 7.49481782, -2.23614392])"
543,java.awt.image.AffineTransformOp,"array([ 5.89325127, -1.09607202])"
544,java.awt.image.RasterOp,"array([ 6.48723842, -0.52140876])"
545,java.awt.image.AreaAveragingScaleFilter,"array([ 5.66249102, -1.12888973])"
546,java.awt.image.ReplicateScaleFilter,"array([ 5.79880977, -1.10793722])"
547,java.util.Hashtable,"array([ 4.92774483, -2.09831989])"
548,java.awt.image.ImageFilter,"array([ 5.70505372, -1.37788892])"
549,java.awt.image.ImageConsumer,"array([ 6.10957002, -0.9503439 ])"
550,java.awt.image.BandCombineOp,"array([ 6.22648234, -1.08518732])"
551,java.awt.image.BandedSampleModel,"array([ 5.46623857, -1.41867228])"
552,java.awt.image.ComponentSampleModel,"array([ 5.47043528, -1.37683372])"
553,java.awt.image.DataBuffer,"array([ 5.5515494 , -1.22851466])"
554,java.awt.image.SampleModel,"array([ 5.67992688, -1.42361416])"
555,java.awt.image.WritableRenderedImage,"array([ 6.40325143, -0.91264731])"
556,java.awt.image.IndexColorModel,"array([ 5.45743167, -1.98046907])"
557,java.awt.image.TileObserver,"array([ 7.12247678, -0.18171444])"
558,java.awt.image.BufferedImageFilter,"array([ 5.74885099, -1.08405086])"
559,java.awt.image.ByteLookupTable,"array([ 4.95737777, -0.07484525])"
560,java.awt.image.LookupTable,"array([ 5.55563564, -0.64849443])"
561,java.awt.image.ColorConvertOp,"array([ 5.85215597, -1.11703911])"
562,java.awt.image.ComponentColorModel,"array([ 5.51108784, -1.76301121])"
563,java.awt.image.ConvolveOp,"array([ 5.99856128, -1.09316094])"
564,java.awt.image.Kernel,"array([ 5.67444622, -0.9617043 ])"
565,java.awt.image.CropImageFilter,"array([ 5.67557322, -1.280296  ])"
566,java.awt.image.DataBufferByte,"array([ 5.7567592 , -0.23741269])"
567,java.awt.image.DataBufferDouble,"array([ 6.19423563, -0.43164981])"
568,java.awt.image.DataBufferFloat,"array([ 6.31895775, -0.50728405])"
569,java.awt.image.DataBufferInt,"array([ 5.98570346, -0.33881656])"
570,java.awt.image.DataBufferShort,"array([ 5.1636397 , -0.22972038])"
571,java.awt.image.DataBufferUShort,"array([ 5.00476918, -0.22811555])"
572,java.awt.image.DirectColorModel,"array([ 5.3527149 , -1.70843159])"
573,java.awt.image.PackedColorModel,"array([ 5.55520273, -1.78098385])"
574,java.awt.image.FilteredImageSource,"array([ 6.24250964, -1.02565273])"
575,java.awt.image.ImagingOpException,"array([ 5.37909284, -3.79865334])"
576,java.math.BigInteger,"array([ 4.63117225, -4.06566218])"
577,java.awt.image.LookupOp,"array([ 5.98246412, -0.99864559])"
578,java.awt.image.MemoryImageSource,"array([ 5.62702694, -1.4464901 ])"
579,java.awt.image.MultiPixelPackedSampleModel,"array([ 5.37234479, -1.38842021])"
580,java.awt.image.PixelGrabber,"array([ 5.90314751, -1.59829699])"
581,java.awt.image.PixelInterleavedSampleModel,"array([ 5.41682891, -1.37249769])"
582,java.awt.image.RGBImageFilter,"array([ 5.61557782, -1.34851041])"
583,java.awt.image.RasterFormatException,"array([ 5.40932571, -3.99772717])"
584,java.awt.image.RescaleOp,"array([ 5.9637464 , -1.04425491])"
585,java.awt.image.ShortLookupTable,"array([ 6.27818486, -0.44106226])"
586,java.awt.image.SinglePixelPackedSampleModel,"array([ 5.41483606, -1.42241887])"
587,java.awt.image.renderable.ContextualRenderedImageFactory,"array([ 5.94817312, -0.69379974])"
588,java.awt.image.renderable.RenderedImageFactory,"array([6.4404927 , 0.06987677])"
589,java.awt.image.renderable.ParameterBlock,"array([ 5.5153835 , -1.45443183])"
590,java.awt.image.renderable.RenderContext,"array([ 5.72046781, -1.30554529])"
591,java.awt.image.renderable.RenderableImageOp,"array([ 5.51833378, -1.35946674])"
592,java.awt.image.renderable.RenderableImageProducer,"array([ 5.60780547, -1.0353305 ])"
593,java.awt.peer.ButtonPeer,"array([ 6.37517242, -1.93247537])"
594,java.awt.peer.ContainerPeer,"array([ 6.57086698, -2.03476767])"
595,java.awt.peer.CanvasPeer,"array([ 6.7648273 , -2.10071011])"
596,java.awt.peer.CheckboxMenuItemPeer,"array([ 7.63716431, -3.79419826])"
597,java.awt.peer.MenuItemPeer,"array([ 7.75457991, -3.56290948])"
598,java.awt.peer.CheckboxPeer,"array([ 6.52735494, -2.20574645])"
599,java.awt.peer.ChoicePeer,"array([ 6.49653725, -2.48970503])"
600,java.awt.peer.DesktopPeer,"array([ 4.26996084, -4.79384004])"
601,java.awt.peer.DialogPeer,"array([ 6.23453109, -2.03901991])"
602,java.awt.peer.WindowPeer,"array([ 6.673524  , -2.19691239])"
603,java.awt.peer.FileDialogPeer,"array([ 6.26462532, -2.71593554])"
604,java.awt.peer.FramePeer,"array([ 6.58702847, -2.33223756])"
605,java.awt.peer.KeyboardFocusManagerPeer,"array([ 7.83281174, -2.64696169])"
606,java.awt.peer.LabelPeer,"array([ 6.54103486, -2.24757324])"
607,java.awt.peer.LightweightPeer,"array([ 6.62995981, -1.97581369])"
608,java.awt.peer.ListPeer,"array([ 6.40297092, -2.20400596])"
609,java.awt.peer.MenuBarPeer,"array([ 7.96258861, -3.2274334 ])"
610,java.awt.peer.MenuPeer,"array([ 7.60309696, -3.62197576])"
611,java.awt.peer.MouseInfoPeer,"array([ 8.19404733, -2.47650439])"
612,java.awt.peer.PanelPeer,"array([ 6.6388603 , -2.14056855])"
613,java.awt.peer.PopupMenuPeer,"array([ 7.59523971, -3.3849432 ])"
614,java.awt.peer.RobotPeer,"array([ 8.42105464, -1.4463619 ])"
615,java.awt.peer.ScrollPanePeer,"array([ 6.7222337, -2.1014725])"
616,java.awt.peer.ScrollbarPeer,"array([ 6.68880316, -2.14980286])"
617,java.awt.peer.SystemTrayPeer,"array([ 8.64818448, -2.45506751])"
618,java.awt.peer.TextAreaPeer,"array([ 6.30486843, -2.44963942])"
619,java.awt.peer.TextComponentPeer,"array([ 6.39971724, -2.1081219 ])"
620,java.awt.peer.TextFieldPeer,"array([ 6.50274119, -2.25813593])"
621,java.awt.peer.TrayIconPeer,"array([ 5.86944869, -4.6315521 ])"
622,java.awt.print.Book,"array([ 6.07518182, -0.82262086])"
623,java.awt.print.Pageable,"array([6.63257993, 0.17222188])"
624,java.awt.print.Printable,"array([ 6.20684392, -1.34231036])"
625,java.awt.print.PageFormat,"array([ 5.71038241, -0.99361673])"
626,java.awt.print.Book$BookPage,"array([ 3.65473258, -1.26088047])"
627,java.awt.print.Paper,"array([ 4.90251101, -1.31559045])"
628,java.awt.print.PrinterAbortException,"array([ 6.50470737, -3.74138773])"
629,java.awt.print.PrinterException,"array([ 6.24739486, -3.91062295])"
630,java.awt.print.PrinterGraphics,"array([6.63866514, 0.92221467])"
631,java.awt.print.PrinterJob,"array([ 5.74833884, -1.14789286])"
632,java.awt.print.PrinterIOException,"array([ 5.96199642, -4.27787712])"
633,java.io.IOException,"array([ 5.78486857, -3.81944449])"
634,javax.print.attribute.PrintRequestAttributeSet,"array([ 5.66737892, -1.34850416])"
635,javax.print.PrintService,"array([ 5.62845695, -1.394475  ])"
636,java.awt.print.PrinterJob$1,"array([ 3.77698106, -1.43636125])"
637,java.beans.AppletInitializer,"array([ 7.14439271, -4.21504521])"
638,java.beans.beancontext.BeanContext,"array([ 5.58371833, -3.27405527])"
